anyo;cut_comuna_anyocenso;cut_distrito;censo_total_poblacion
1982;407;3;2751
1982;407;4;5313
1982;407;5;1505
1982;407;6;1367
1982;407;7;4129
1982;407;8;1127
1982;407;9;2370
1982;407;10;3466
1982;407;11;1673
1982;407;12;1420
1982;407;13;1279
1982;407;14;1775
1982;407;15;597
1982;410;1;2160
1982;410;2;3945
1982;410;3;6120
1982;410;4;1525
1982;410;5;4395
1982;410;6;5028
1982;410;7;365
1982;410;8;451
1982;410;9;472
1982;410;10;2063
1982;410;11;1192
1982;410;12;1009
1982;410;13;1201
1982;410;14;1213
1982;410;15;1474
1982;410;16;3545
1982;410;17;2927
1982;410;18;433
1982;411;1;2197
1982;411;2;1131
1982;411;3;1969
1982;412;1;1856
1982;412;2;1196
1982;412;3;1547
1982;412;4;743
1982;412;5;907
1982;412;6;2302
1982;415;1;11723
1982;415;2;13866
1982;415;3;27930
1982;415;4;6815
1982;415;5;10334
1982;415;6;1577
1982;415;7;1515
1982;415;8;3374
1982;415;9;1178
1982;415;11;248
1982;415;12;1677
1982;415;13;29981
1982;415;14;11414
1982;415;15;2563
1982;416;1;7187
1982;416;2;11800
1982;416;3;2915
1982;416;4;2353
1982;416;5;1025
1982;416;6;2701
1982;416;7;1836
1982;416;8;3205
1982;416;9;2829
1982;416;10;3469
1982;416;11;1638
1982;416;12;758
1982;416;13;1617
1982;416;14;403
1982;417;1;2777
1982;417;2;2353
1982;417;3;4612
1982;417;4;1516
1982;417;5;478
1982;417;6;659
1982;418;1;671
1982;418;2;584
1982;418;3;2130
1982;418;4;304
1982;418;5;173
1982;419;1;4365
1982;419;2;2486
1982;419;3;2124
1982;419;4;3923
1982;419;5;965
1982;419;6;801
1982;419;7;103
1982;419;8;464
1982;419;9;1443
1982;419;10;1276
1982;419;11;1488
1982;419;12;1385
1982;420;1;2966
1982;420;2;2052
1982;420;3;729
1982;420;4;1078
1982;420;5;2249
1982;420;6;161
1982;421;1;3450
1982;421;2;495
1982;421;3;1976
1982;421;4;1584
1982;421;5;3875
1982;421;6;3623
1982;422;1;3585
1982;422;2;705
1982;422;3;1953
1982;422;4;1707
1982;422;5;2680
1982;422;6;1497
1982;422;7;1949
1982;423;1;5867
1982;423;2;806
1982;423;3;749
1982;423;4;1546
1982;423;5;274
1982;423;6;412
1982;423;7;373
1982;423;8;491
1982;423;9;2567
1982;423;10;1776
1982;424;1;2819
1982;424;2;377
1982;424;3;867
1982;424;4;422
1982;424;5;508
1982;424;6;745
1982;424;7;492
1982;424;8;1270
1982;424;9;687
1982;425;1;8780
1982;425;2;1612
1982;425;3;609
1982;425;4;1570
1982;425;5;2112
1982;425;6;1517
1982;425;7;1771
1982;425;8;641
1982;426;1;4952
1982;426;2;5275
1982;426;3;642
1982;426;4;868
1982;426;5;1151
1982;426;6;1960
1982;427;1;4527
1982;427;2;1515
1982;427;3;1361
1982;428;1;3675
1982;428;2;1099
1982;428;3;2553
1982;429;1;8566
1982;429;2;3501
1982;429;3;1980
1982;429;4;1591
1982;430;1;1050
1982;430;2;2950
1982;430;3;1960
1982;431;1;1552
1982;431;2;2499
1982;431;3;766
1982;431;4;1031
1982;431;5;231
1982;432;1;6271
1982;432;2;1661
1982;432;3;473
1982;432;4;370
1982;432;5;1283
1982;432;6;878
1982;433;1;2871
1982;433;2;2735
1982;433;3;737
1982;433;4;689
1982;434;1;1097
1982;434;2;2059
1982;434;3;573
1982;434;4;978
1982;434;5;1465
1982;434;6;1833
1982;434;7;1319
1982;435;4;9756
1982;435;6;644
1982;435;9;902
1982;435;10;673
1982;435;11;367
1982;440;1;32663
1982;440;2;15162
1982;440;3;19154
1982;440;4;1307
1982;440;5;2628
1982;440;6;1464
1982;440;7;2146
1982;440;8;3230
1982;440;9;4826
1982;440;10;4625
1982;440;11;3552
1982;440;12;2969
1982;440;13;2241
1982;440;14;2101
1982;440;15;1799
1982;440;16;1060
1982;440;17;6490
1982;440;18;3476
1982;440;19;4574
1982;441;1;7839
1982;441;2;1997
1982;441;3;2022
1982;441;4;6071
1982;441;5;856
1982;442;1;2173
1982;442;2;7657
1982;442;3;205
1982;442;4;1803
1982;443;1;3722
1982;443;2;583
1982;443;3;155
1982;443;4;806
1982;444;1;3122
1982;444;2;1429
1982;444;3;545
1982;444;4;4114
1982;444;5;1478
1982;444;6;750
1982;445;1;5479
1982;445;2;1480
1982;445;3;1187
1982;445;4;873
1982;445;5;693
1982;445;6;41
1982;445;7;1963
1982;445;8;1200
1982;445;9;332
1982;445;10;1387
1982;445;11;715
1982;445;12;1365
1982;446;1;1977
1982;446;2;859
1982;446;3;1110
1982;446;4;644
1982;446;5;25
1982;447;1;9035
1982;447;2;7084
1982;447;3;1615
1982;447;4;1586
1982;447;5;154
1982;447;6;216
1982;447;7;67
1982;447;8;575
1982;447;9;607
1982;447;10;966
1982;447;11;782
1982;447;12;973
1982;447;13;1843
1982;447;14;1000
1982;447;15;1470
1982;448;1;5390
1982;448;2;1145
1982;448;3;571
1982;449;1;10480
1982;449;2;1673
1982;449;3;3360
1982;449;4;1488
1982;449;5;2638
1982;449;6;2765
1982;450;1;11934
1982;450;2;1079
1982;450;3;2298
1982;450;4;607
1982;450;5;6764
1982;451;1;3481
1982;451;2;80
1982;451;3;871
1982;452;1;7931
1982;452;2;3707
1982;452;3;1051
1982;452;4;3056
1982;452;5;1146
1982;452;6;716
1982;452;7;707
1982;452;8;1629
1982;452;9;1605
1982;455;1;3422
1982;455;2;4801
1982;455;3;3316
1982;455;4;3122
1982;455;5;7087
1982;455;6;4488
1982;455;7;3875
1982;455;8;10394
1982;455;9;5478
1982;455;10;11132
1982;455;11;5419
1982;455;12;3988
1982;455;13;5152
1982;455;14;4990
1982;455;15;17997
1982;455;16;14304
1982;455;17;8543
1982;455;18;5094
1982;455;19;5278
1982;455;20;3986
1982;455;21;4429
1982;455;22;5033
1982;455;23;607
1982;455;24;17378
1982;455;25;6147
1982;455;31;772
